date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:32:01	67531/67531	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2008:32:02%20GMT	https://www.donsolidaires.fr/	C:/My%20Web%20Sites/https___www.donsolidaires.fr_04/www.donsolidaires.fr/index.html	(from )
09:32:02	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Mar%202024%2008:32:03%20GMT	https://fonts.gstatic.com/	C:/My%20Web%20Sites/https___www.donsolidaires.fr_04/fonts.gstatic.com/index.html	(from https://www.donsolidaires.fr/)
09:32:02	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:60a436b5c8b308d7b83c46bad7b3ab1e21f4b0d5	https://www.donsolidaires.fr/web/image/website/1/favicon?unique=6c2934b	C:/My%20Web%20Sites/https___www.donsolidaires.fr_04/www.donsolidaires.fr/web/image/website/1/favicond599	(from https://www.donsolidaires.fr/)
09:32:03	44913/44913	---M--	200	added ('OK')	image/jpeg	etag:13763da9cfb87fdbd094ca9ae7206c22f9d28ff6	https://www.donsolidaires.fr/web/image/website/1/social_default_image?unique=a161027	C:/My%20Web%20Sites/https___www.donsolidaires.fr_04/www.donsolidaires.fr/web/image/website/1/social_default_image0c92	(from https://www.donsolidaires.fr/)
09:32:03	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%22wzsdm-1667999481-77160-2223376861%22	https://www.donsolidaires.fr/web/static/lib/fontawesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/https___www.donsolidaires.fr_04/www.donsolidaires.fr/web/static/lib/fontawesome/fonts/fontawesome-webfont3e6e.woff2	(from https://www.donsolidaires.fr/)
09:32:03	7134/7134	---M--	200	added ('OK')	image/png	etag:41e13d7fd2432e4865b3e11375a091e60626d8ca	https://www.donsolidaires.fr/web/image/website/1/logo/Dons%20Solidaires%20-%20Donner%2C%20Distribuer%2C%20Partager?unique=6c2934b	C:/My%20Web%20Sites/https___www.donsolidaires.fr_04/www.donsolidaires.fr/web/image/website/1/logo/Dons%20Solidaires%20-%20Donner,%20Distribuer,%20Partagerd599	(from https://www.donsolidaires.fr/)
09:32:04	62255/62255	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2008:32:04%20GMT	https://www.donsolidaires.fr/qui-sommes-nous	C:/My%20Web%20Sites/https___www.donsolidaires.fr_04/www.donsolidaires.fr/qui-sommes-nous	(from https://www.donsolidaires.fr/)
09:32:04	53037/53037	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2008:32:04%20GMT	https://www.donsolidaires.fr/nos-missions	C:/My%20Web%20Sites/https___www.donsolidaires.fr_04/www.donsolidaires.fr/nos-missions	(from https://www.donsolidaires.fr/)
09:32:05	47840/-1	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2008:32:05%20GMT	https://www.donsolidaires.fr/antennes-regionales	C:/My%20Web%20Sites/https___www.donsolidaires.fr_04/www.donsolidaires.fr/antennes-regionales	(from https://www.donsolidaires.fr/)
09:32:05	40980/-1	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2008:32:05%20GMT	https://www.donsolidaires.fr/domaines-d-intervention	C:/My%20Web%20Sites/https___www.donsolidaires.fr_04/www.donsolidaires.fr/domaines-d-intervention	(from https://www.donsolidaires.fr/)
